"checkbox-themes","radio-consulter-offres-publiques","radio-rejoindre","checkbox-pourquoi","checkbox-souhaits","radio-type-contrat","radio-lieu","text-lieu","number-salaire-min","number-salaire-souhait","checkbox-acceptation","text-condition","radio-genre","radio-metiers","text-autre-metier","number-experience","date"
"Écologie, Justice, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Sécurité / secours","Non","Je ne sais pas","Servir l'intérêt général","Au sein d'un département, Au sein d'une commune","CDI","En métropole","01","3000","3500","Travailler 35h / semaine, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Une femme","Développement backend","","20","2019-07-22T05:47:21+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien, Pour réorienter ma carrière","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDD (2-3 ans)","En métropole","Nantes","1300","1600","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Une femme","Design de services","","3","2019-07-22T05:46:26+00:00"
"Écologie, Justice, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Renseignement, lutte contre la fraude","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère","CDI","En région parisienne","Paris","4800","5500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","Travailler en feature team avec des profils volontaires / motivés","Une femme","Product management","","20","2019-07-22T03:24:37+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche","Oui","Non","Servir l'intérêt général","Au sein d'un ministère","Freelance, portage salarial","En région parisienne","","7000","9000","Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Développement fullstack","","25","2019-07-21T22:41:44+00:00"
"Écologie, Justice, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sécurité / secours","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour ne pas faire uniquement des tâches techniques, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En région parisienne","Paris","4000","5000","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Autre","Si le choix ci-dessus avait permis les cases à cocher plutôt que des boutons radio… administration systèmes + backend + TMA + design services/UX/UI + audit qualité/accessibilité (Opquast) + capacité à parler à tout le monde (du ministre à l'administré ;-)","32","2019-07-21T22:02:44+00:00"
"Santé, Culture, Sports, Interministériel","Oui","Oui","Donner du sens à mon travail, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","Toulouse","2400","2600","Pouvoir travailler 1-2 jours par semaine en télétravail, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage","","Un homme","Marketing","","11","2019-07-21T21:47:39+00:00"
"Écologie, Éducation nationale, Enseignement supérieur et recherche, Culture","Non","Je ne sais pas","Servir l'intérêt général, Pour avoir un travail stable","Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En métropole","Ardèche, Drôme ","2500","3000","Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Une femme","Développement fullstack","","14","2019-07-21T21:11:05+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sécurité / secours, Renseignement, lutte contre la fraude","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Indre-et-Loire","1500","2500","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","11","2019-07-21T21:07:45+00:00"
"Justice, Affaires étrangères, Défense, Santé, Économie, Éducation nationale, Sécurité / secours","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","Yvelines, Paris","3000","3500","Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir utiliser mes logiciels habituels","","Un homme","Marketing","","10","2019-07-21T20:59:00+00:00"
"Éducation nationale","Non","Je ne sais pas","Servir l'intérêt général, Pour avoir un travail stable, Pour réorienter ma carrière","Au sein d'un ministère","CDI","En métropole","","3000","3500","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux","","Une femme","Autre","","20","2019-07-21T20:46:48+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Renseignement, lutte contre la fraude, Interministériel","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","","3500","4000","Pouvoir prendre des jours de congés sans solde, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Data scientist","","10","2019-07-21T20:37:35+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour avoir un travail stable","Au sein d'un département","CDI","En métropole","Dijon","2500","3200","Autre","Contact en CDI a dijon","Un homme","Développement fullstack","","9","2019-07-21T20:34:03+00:00"
"Écologie, Justice, Affaires étrangères, Culture","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une commune","Freelance, portage salarial","En métropole","Lille","3500","4500","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir avoir une activité annexe (enseignement, conseil), Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Un homme","Développement frontend","","14","2019-07-21T20:11:43+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Sports, Renseignement, lutte contre la fraude, Interministériel","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Lille","2100","2500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Autre","Avoir des possibilités de formation professionnelle","Un homme","Développement backend","","4","2019-07-21T20:03:33+00:00"
"Culture","Non","Oui","Pour avoir un travail stable","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Metz ","1450","1600","Ne pas être soumis à des habilitations de sécurité / défense, Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir un accès à Internet sans aucun filtrage","","Refuse de se prononcer","Autre","étudiant","1","2019-07-21T19:37:39+00:00"
"Écologie, Justice, Défense, Sécurité / secours, Renseignement, lutte contre la fraude","Non","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien, Pour réorienter ma carrière","Au sein d'un ministère","CDI","En région parisienne","","6000","8000","Autre","Manager une équipe","Un homme","Product management","Design de service, UX/UI, protection des données personnelles (DPO)","33","2019-07-21T18:50:28+00:00"
"Écologie, Éducation nationale, Enseignement supérieur et recherche, Culture","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En région parisienne","Département 75 ou 78","4000","4100","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Développement backend","","10","2019-07-21T18:27:10+00:00"
"Écologie, Justice, Affaires étrangères, Santé, Éducation nationale, Sécurité / secours, Renseignement, lutte contre la fraude","Non","Non","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","13001","3000","3197","Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Design UI/UX","","15","2019-07-21T18:22:43+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche","Non","Je ne sais pas","Avoir un impact sur le quotidien","Au sein d'une région, Au sein d'un département","CDI","En région parisienne","Lorraine, Moselle","2700","3000","Pouvoir avoir une activité annexe (enseignement, conseil), Autre","Travailler en équipe, avoir une accroche sur la conduite / gestion des projets ou produits","Un homme","Design de services","","10","2019-07-21T18:02:28+00:00"
"Écologie, Santé, Culture, Sports","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Pas de Calais ","1900","2200","Pouvoir travailler à 80-100% en télétravail, Travailler en méthodes agiles, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement backend","","13","2019-07-21T17:40:52+00:00"
"Écologie, Affaires étrangères, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Interministériel","Oui","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère","CDI","En région parisienne","","2700","3500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Refuse de se prononcer","Développement fullstack","","3","2019-07-21T17:39:42+00:00"
"Écologie, Justice, Affaires étrangères, Santé, Culture, Sports, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Non","Je ne sais pas","Travailler au côté de métiers différents du mien, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère","CDI","En région parisienne","Paris","2500","3000","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement frontend","","5","2019-07-21T17:33:10+00:00"
"Défense, Éducation nationale, Enseignement supérieur et recherche, Sécurité / secours, Renseignement, lutte contre la fraude","Oui","Je ne sais pas","Servir l'intérêt général, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","Paris","2500","3000","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Refuse de se prononcer","Développement fullstack","","5","2019-07-21T17:22:10+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Oui","Oui","Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Angers","2500","2500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Autre","Expert accessibilité numérique ","12","2019-07-21T17:02:04+00:00"
"Écologie, Justice, Santé, Éducation nationale, Enseignement supérieur et recherche, Sécurité / secours, Interministériel","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En métropole","Lyon","5000","6500","Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","Pas de lourdeur administrative et autorisation à acquérir pour faire les choses ","Un homme","Développement fullstack","","17","2019-07-21T16:58:31+00:00"
"Écologie, Affaires étrangères, Défense, Santé, Enseignement supérieur et recherche, Culture, Sécurité / secours","Non","Je ne sais pas","Servir l'intérêt général, Travailler au côté de métiers différents du mien, Pour avoir un travail stable","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","2400","2700","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","5","2019-07-21T16:56:42+00:00"
"Agriculture et alimentation, Interministériel","Oui","Oui","Servir l'intérêt général","Au sein d'un ministère","CDI","En métropole","Toulouse ","2800","3200","Avoir des horaires de travail flexibles","","Un homme","Autre","Conseil en innovation et accompagnement à la transformation numérique ","17","2019-07-21T16:53:41+00:00"
"Écologie, Renseignement, lutte contre la fraude","Non","Je ne sais pas","Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région","CDI","En région parisienne","78","4000","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Data scientist","","1","2019-07-21T16:13:01+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Agriculture et alimentation","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour avoir un travail stable","Au sein d'un ministère","CDI","En métropole","Montpellier","1700","2000","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Data scientist","","3","2019-07-21T15:33:05+00:00"
"Écologie, Justice, Santé, Éducation nationale, Enseignement supérieur et recherche","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","2800","3200","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Un homme","Product management","","10","2019-07-21T14:37:22+00:00"
"Écologie, Culture, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","2400","2500","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Une femme","Autre","Chargée de mission","21","2019-07-21T13:38:20+00:00"
"Écologie, Culture, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDD (2-3 ans)","En métropole","","2400","2500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Une femme","Autre","Chargée de mission","21","2019-07-21T13:37:07+00:00"
"Écologie, Justice, Santé, Éducation nationale, Enseignement supérieur et recherche, Interministériel","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Pour avoir un travail stable","Au sein d'un ministère, Au sein d'une commune","CDI","En région parisienne","","3800","4500","Ne pas être soumis à des habilitations de sécurité / défense, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Autre","Coach agile + craft + devops","20","2019-07-21T13:00:59+00:00"
"Écologie, Affaires étrangères, Défense, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Interministériel","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","2200","2500","Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Développement fullstack","","1","2019-07-21T12:08:05+00:00"
"Écologie, Justice, Santé, Économie, Éducation nationale, Renseignement, lutte contre la fraude","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Bordeaux","2800","3200","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels, Autre","Équipe diverse et inclusive, management responsable ","Un homme","Data scientist","","9","2019-07-21T12:02:26+00:00"
"Écologie, Enseignement supérieur et recherche, Agriculture et alimentation, Sports","Oui","Non","Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","2300","2500","Pouvoir utiliser mes logiciels habituels","","Un homme","Data scientist","","5","2019-07-21T11:55:25+00:00"
